Id,Label,salary low,salary median,salary high,national_count,Degré,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Modularity Class
5322,sap bw consultant,54886.0,75545.0,108649.0,73024.0,10,10.0,2.0,8.0,20
5328,bi analyst,61915.0,71974.0,117188.0,27235.0,2,2.0,1.0,1.0,20
5331,bi consultant,43190.0,77419.0,94248.0,43263.0,8,8.0,0.0,8.0,20
5345,data migration consultant,62180.0,101847.0,134768.0,11447.0,2,2.0,1.0,1.0,21
5352,senior database analyst,70075.0,92392.0,122315.0,27235.0,7,7.0,1.0,6.0,20
5795,enterprise architect,90431.0,130758.0,180155.0,22918.0,17,17.0,4.0,13.0,20
6040,obiee consultant,64688.0,86584.0,100366.0,43263.0,2,2.0,1.0,1.0,20
6045,senior obiee developer,76125.0,99820.0,114188.0,26238.0,1,1.0,1.0,0.0,20
6143,information analyst,52423.0,72040.0,90912.0,73024.0,10,10.0,0.0,10.0,20
6260,senior developer consultant,91512.0,105005.0,126924.0,26238.0,6,6.0,1.0,5.0,13
6371,senior program analyst,72764.0,94300.0,113262.0,35661.0,9,9.0,1.0,8.0,20
6590,software designer,71712.0,110984.0,140138.0,84202.0,9,9.0,0.0,9.0,12
6603,senior data architect,93685.0,111532.0,153456.0,11447.0,17,17.0,6.0,11.0,20
6605,senior technical architect,89546.0,113129.0,141556.0,22918.0,9,9.0,0.0,9.0,20
6607,technical team lead,60242.0,73897.0,107715.0,90853.0,15,15.0,1.0,14.0,20
6612,senior developer analyst,91543.0,118709.0,149771.0,38895.0,1,1.0,1.0,0.0,20
6617,ios developer,59525.0,86241.0,139563.0,10929.0,9,9.0,1.0,8.0,20
6694,data warehouse architect,68694.0,102104.0,129609.0,11447.0,19,19.0,6.0,13.0,20
6696,data modeler,63917.0,80000.0,109480.0,27235.0,10,10.0,1.0,9.0,20
6744,senior technical designer,73230.0,92508.0,117738.0,13718.0,1,1.0,1.0,0.0,21
6750,assistant technical designer,35827.0,44566.0,51201.0,13718.0,1,1.0,1.0,0.0,21
6774,system architect,62555.0,75237.0,137042.0,22918.0,15,15.0,2.0,13.0,20
6786,systems designer,45121.0,78282.0,110325.0,10284.0,4,4.0,0.0,4.0,20
6852,peoplesoft technical developer,61418.0,65701.0,81781.0,13718.0,1,1.0,1.0,0.0,20
6854,lead analyst,68557.0,79495.0,105395.0,73024.0,16,16.0,1.0,15.0,20
6855,peoplesoft consultant,64846.0,94206.0,125701.0,43263.0,11,11.0,2.0,9.0,20
6874,data warehouse developer,57922.0,75069.0,103060.0,27235.0,6,6.0,2.0,4.0,20
6880,etl architect,71489.0,101290.0,128513.0,22918.0,6,6.0,1.0,5.0,20
6883,ab initio developer,61956.0,74426.0,98455.0,26238.0,1,1.0,1.0,0.0,20
6886,data warehouse consultant,62234.0,71026.0,116209.0,27235.0,4,4.0,0.0,4.0,20
6903,technical project leader,67959.0,82931.0,109432.0,90853.0,11,11.0,1.0,10.0,20
6904,biztalk developer,63422.0,82580.0,105791.0,38895.0,2,2.0,0.0,2.0,20
6907,junior developer,45951.0,60930.0,86533.0,26238.0,9,9.0,1.0,8.0,20
6909,systems consultant,59366.0,86334.0,127695.0,73024.0,20,20.0,5.0,15.0,20
7530,systems programmer,55433.0,73279.0,92405.0,21899.0,15,15.0,2.0,13.0,20
7707,senior abap developer,94603.0,113853.0,129219.0,38895.0,1,1.0,1.0,0.0,21
7709,sap abap developer,64027.0,87742.0,111802.0,38895.0,13,13.0,5.0,8.0,21
7720,senior sap consultant,82822.0,105289.0,134193.0,73024.0,8,8.0,1.0,7.0,21
7721,sap senior consultant,82822.0,105289.0,134193.0,73024.0,2,2.0,1.0,1.0,21
7722,sap staff consultant,57009.0,64094.0,74716.0,11832.0,1,1.0,1.0,0.0,21
7723,sap technical consultant,60900.0,70156.0,83325.0,90853.0,14,14.0,5.0,9.0,21
7726,sap functional consultant,59577.0,72947.0,107866.0,73024.0,2,2.0,1.0,1.0,21
7777,principal enterprise architect,123106.0,133222.0,155578.0,22918.0,2,2.0,1.0,1.0,20
7790,senior database engineer,91947.0,112601.0,136211.0,84202.0,7,7.0,1.0,6.0,20
7800,oracle specialist,55697.0,64246.0,116954.0,14722.0,5,5.0,1.0,4.0,20
7806,senior member technical staff,141935.0,168750.0,200970.0,84202.0,8,8.0,0.0,8.0,20
7845,java software engineer,67097.0,87184.0,110100.0,84202.0,5,5.0,2.0,3.0,19
7850,java consultant,61935.0,67893.0,74983.0,26238.0,5,5.0,0.0,5.0,20
7854,c software engineer,68524.0,86275.0,121941.0,84202.0,4,4.0,1.0,3.0,19
7861,sap bi consultant,69109.0,82054.0,93001.0,27235.0,7,7.0,2.0,5.0,21
7874,sharepoint administrator,60072.0,75000.0,100240.0,37872.0,6,6.0,0.0,6.0,20
7896,associate qa engineer,57248.0,66890.0,104821.0,19137.0,1,1.0,1.0,0.0,20
7901,sap basis administrator,62895.0,91171.0,120753.0,37872.0,12,12.0,3.0,9.0,11
7943,senior embedded software engineer,86792.0,103537.0,134826.0,84202.0,7,7.0,1.0,6.0,12
7957,clinical programmer,62279.0,88273.0,177239.0,27235.0,1,1.0,1.0,0.0,20
7964,senior computer scientist,100030.0,149886.0,172497.0,17952.0,7,7.0,1.0,6.0,20
7997,it architect,78432.0,112455.0,148085.0,22918.0,5,5.0,0.0,5.0,20
8055,web applications developer,55471.0,77544.0,102540.0,25687.0,6,6.0,1.0,5.0,20
8058,net architect,72000.0,106504.0,133130.0,22918.0,14,14.0,3.0,11.0,20
8059,net programmer,51613.0,63945.0,81200.0,38895.0,3,3.0,0.0,3.0,20
8064,net consultant,66565.0,73847.0,107842.0,38895.0,8,8.0,1.0,7.0,20
8070,applications programmer,57938.0,70154.0,93385.0,25687.0,8,8.0,1.0,7.0,20
8072,application consultant,64510.0,83174.0,120064.0,25687.0,7,7.0,1.0,6.0,20
8096,senior php developer,72840.0,97125.0,127358.0,25687.0,1,1.0,0.0,1.0,20
8212,lead technical consultant,91386.0,109512.0,125934.0,13718.0,6,6.0,1.0,5.0,20
8300,senior systems consultant,77366.0,110621.0,138219.0,73024.0,15,15.0,1.0,14.0,20
8487,senior application architect,91730.0,115907.0,140903.0,22918.0,6,6.0,1.0,5.0,20
8494,application architect,71681.0,101500.0,129998.0,22918.0,13,13.0,0.0,13.0,20
8506,sap basis consultant,56282.0,84489.0,106088.0,43263.0,11,11.0,2.0,9.0,11
8507,senior sap basis consultant,89299.0,103010.0,124338.0,43263.0,3,3.0,1.0,2.0,11
8541,lead senior software engineer,92500.0,122271.0,150076.0,84202.0,1,1.0,0.0,1.0,20
8542,senior software design engineer,87544.0,110942.0,134000.0,84202.0,7,7.0,1.0,6.0,20
8575,programmer analyst iii,65701.0,87798.0,112195.0,27235.0,3,3.0,1.0,2.0,20
8576,configuration management engineer,77085.0,93547.0,115960.0,84202.0,5,5.0,2.0,3.0,10
