Name	Job	Industry	Sector	Number of ratings	Overall rating	Culture and values	Work life balance	Senior Leadership	Compensation and benefits	Career opportunities	Recommend to friend	Name CEO	Pourcentage approve CEO
Energy BBDO	Overall	"Advertising &amp; Marketing"	Business Services	30	3.4	3.9	3.1	3.1	2.9	3.3	0.7	Tonise Paul	95
Able Services	Overall	"Architectural &amp; Engineering Services"	Business Services	30	3.2	3.3	3.3	3.3	3.5	2.7	0.6	Paul Bensi	78
Willdan Group	Overall	"Architectural &amp; Engineering Services"	Business Services	30	3	2.6	3.3	2.4	2.8	3.0	0.5	Tom Brisbin	61
EnergySolutions	Overall	"Building &amp; Personnel Services"	Business Services	30	2	2.3	2.7	1.9	2.9	2.1	0.3	David Lockwood	15
Energy Solutions	Overall	"Building &amp; Personnel Services"	Business Services	30	2	2.3	2.7	1.9	2.9	2.1	0.3	David Lockwood	15
MarkWest Energy Partners	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	28	3.7	3.2	3.1	3.2	3.7	3.6	0.8	Frank M. Semple	100
GenOn Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	28	3	3.3	3.5	2.7	3.8	2.9	0.5	Edward Muller	54
RTI International Metals	Overall	Industrial Manufacturing	Manufacturing	28	2.5	2.3	2.2	2.0	3.3	2.6	0.4	Dawne S. Hickton	69
OneRoof Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	27	2.3	2.0	2.5	1.7	2.7	1.8	0.2	David Field	46
Gexa Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	27	2.5	2.7	2.3	2.2	2.6	2.6	0.4	Brian Landrum	71
The Energy Project	Overall	Consulting	Business Services	27	5	5.0	5.0	4.9	4.7	4.7	1.0	Tony Schwartz	100
SunCoke Energy	Overall	Mining	"Mining &amp; Metals"	27	3.2	3.5	3.6	2.6	4.1	2.7	0.5	Frederick A. (Fritz) Henderson	57
Integrys Energy Group	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	26	2.9	2.9	3.2	2.8	3.2	2.8	0.5	Charles A. (Charlie) Schrock	56
EP Energy	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	25	3.5	3.4	3.3	3.1	4.0	2.7	0.6	Brent J. Smolik	98
Commercial Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	25	3.5	3.5	2.8	3.4	3.9	3.4	0.7	Ron Perry	65
Nalco Energy Services	Overall	Chemical Manufacturing	Manufacturing	25	3.6	3.5	4.1	3.5	3.5	3.4	0.8	Steve Taylor	85
Patriot Energy Group	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	24	3.1	3.1	3.2	3.1	3.1	2.9	0.5	Louis Frate	67
DC Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	24	3	3.7	3.2	2.5	3.8	2.9	0.6	Dean L. Wilde	16
Basic Energy Services	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	24	3.3	2.4	2.6	2.0	3.4	3.2	0.8	Roe Patterson	52
Hart Energy Publishing LLLP	Overall	Publishing	Media	24	2	2.5	3.1	2.2	2.3	2.4	0.4	Richard A. Eichler	26
Clean Energy Fuels	Overall	Wholesale	Business Services	24	2.3	2.4	2.4	2.1	2.7	2.5	0.2	Andrew J. Littlefair	29
Express Energy Services Operating	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	23	2.3	2.3	2.4	1.7	3.2	1.8	0.4	Mark Reese	0
Westar Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	23	3.1	3.2	2.6	2.6	4.3	3.3	0.7	Mark Ruelle	64
Cinco Energy Services	Overall	"Architectural &amp; Engineering Services"	Business Services	22	3	2.8	3.4	2.7	3.1	2.6	0.4	Randy Nichols	57
JP Energy Partners	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	22	3.4	3.3	3.4	3.4	3.7	3.5	0.6	J. Patrick Barley	66
OGE Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	22	3.4	3.6	3.7	3.3	3.9	3.2	0.7	Sean Trauschke	100
Cudd Pressure Control	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	22	2.9	2.5	2.4	2.2	3.4	3.0	0.5	Richard A. Hubbell	73
WPX Energy	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	22	3	3.4	4.0	2.6	3.2	2.9	0.5	Rick Muncrief	100
Urban Green Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	21	2.9	3.8	4.2	3.0	2.2	3.3	0.5	Nick Blitterswyk	53
Brookfield Renewable Energy Group	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	21	3.9	3.6	2.8	3.4	4.1	2.9	0.6	Richard Legault	92
Mercuria Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	21	2.7	0.0	0.0	0.0	0.0	0.0	0.0	Marco Dunand	25
Energy One	Overall	Construction	"Construction, Repair &amp; Maintenance"	20	3.7	3.9	4.0	3.6	3.7	3.7	0.6		
Crius Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	20	2.2	2.0	2.3	2.0	2.4	2.1	0.1		
Hunting Energy Services	Overall	"Electrical &amp; Electronic Manufacturing"	Manufacturing	20	3.3	3.0	3.8	3.2	4.0	2.9	0.7		
"Energy &amp; Resource Solutions"	Overall	Construction	"Construction, Repair &amp; Maintenance"	20	3.7	3.9	4.0	3.6	3.7	3.7	0.6		
"Energy &amp; Environmental Research Center"	Overall	Construction	"Construction, Repair &amp; Maintenance"	20	3.7	3.9	4.0	3.6	3.7	3.7	0.6		
"Energy &amp; Resource Consulting Group"	Overall	Construction	"Construction, Repair &amp; Maintenance"	20	3.7	3.9	4.0	3.6	3.7	3.7	0.6		
Lime Energy	Overall	Construction	"Construction, Repair &amp; Maintenance"	19	3.1	2.7	3.3	2.6	3.4	3.1	0.5	Adam Procell	62
Great River Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	19	4.7	4.7	4.7	4.5	4.5	3.5	1.0	David Saggau	100
APR Energy	Overall			19	2.4	2.6	2.4	2.1	3.4	3.3	0.3		
Packers Plus	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	19	2.8	0.0	0.0	0.0	0.0	0.0	0.0	Dan Themig	71
Planet Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	19	3.4	0.0	0.0	0.0	0.0	0.0	0.0	"Nino Silvestri &amp; Steve Plummer"	100
Exelon Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	18	3.3	3.4	3.1	2.8	3.6	3.0	0.6	Joseph Nigro	79
ABC Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	18	3.7	3.5	3.6	3.5	3.8	3.5	0.7	John Doremie	49
Mitsubishi Nuclear Energy Systems	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	18	2.5	2.3	3.1	2.0	3.8	2.4	0.2	Makoto Toyama	17
Glacial Energy	Overall	Utilities	"Oil, Gas, Energy &amp; Utilities"	18	2.4	2.6	3.8	2.7	3.1	2.7	0.4	Gary Mole	35
Franklin Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	17	3.6	4.0	3.9	3.3	2.8	3.5	0.7	Paul Schueller	100
Cimarex Energy	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	17	3.6	3.6	3.1	3.5	4.5	3.2	0.7	Thomas E. Jorden	100
Patterson-UTI Energy	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	17	3.2	2.9	3.2	2.7	3.0	2.6	0.4	William Andrew Hendricks, Jr.	60
Nouria Energy	Overall	"Convenience Stores &amp; Truck Stops"	"Restaurants, Bars &amp; Food Services"	17	2	1.8	2.2	2.3	2.2	2.2	0.3	Tony El Nemr	25
Irving Oil Limited	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	17	3.1	0.0	0.0	0.0	0.0	0.0	0.0	Ian Whitcomb	-100
ASRC Energy	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	16	3.1	3.1	4.2	2.6	3.7	2.9	0.7	Jeff Kinneeveauk	40
FuelCell Energy	Overall	"Electrical &amp; Electronic Manufacturing"	Manufacturing	16	2.9	2.7	3.9	2.4	2.8	2.5	0.5	Arthur (Chip) Bottone	36
PBF Energy	Overall	Asphalt Products Manufacturing	Manufacturing	16	3.8	3.6	2.9	3.3	3.9	3.7	0.8	Thomas J. Nimbley	100
California Energy Commission	Overall	"State &amp; Regional Agencies"	Government	16	2.9	2.8	3.8	2.4	3.3	2.8	0.5		
Metromedia Energy	Overall	Energy	"Oil, Gas, Energy &amp; Utilities"	16	3.8	3.9	3.8	3.7	4.0	3.5	0.7	Jonathan Morris	66
XXX Energy Drink	Overall	"Food &amp; Beverage Manufacturing"	Manufacturing	16	3.5	0.0	0.0	0.0	0.0	0.0	0.0	Manajit Ghoshal	51
Eagle Rock Energy	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	15	2.8	2.8	3.2	2.3	3.5	2.3	0.5	Joseph A. Mills	48
CVR	Overall	"Oil &amp; Gas Exploration &amp; Production"	"Oil, Gas, Energy &amp; Utilities"	15	2.6	2.1	2.7	2.0	2.7	1.9	0.3	Jack Lipinski	59
Helix Energy Solutions	Overall	"Oil &amp; Gas Services"	"Oil, Gas, Energy &amp; Utilities"	15	3.2	3.0	3.8	2.9	3.0	2.9	0.4	Owen E. Kratz	68
PFC Energy	Overall	Accounting	"Accounting &amp; Legal"	15	3.2	0.0	0.0	0.0	0.0	0.0	0.0	J. Robinson West	33
Bloomberg New Energy Finance	Overall	"Investment Banking &amp; Asset Management"	Finance	15	3.4	0.0	0.0	0.0	0.0	0.0	0.0	Michael Liebreich	85
